Date,Open,High,Low,Close,Adj Close,Volume,symbol,return,SMA_5,SMA_15,SMA_ratio,SMA5_Volume,SMA15_Volume,SMA_Volume_Ratio,prev_close,TR,prev_high,prev_low,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,Diff,Up,Down,avg_5up,avg_5down,avg_15up,avg_15down,RS_5,RS_15,RSI_5,RSI_15,RSI_ratio,5Ewm,15Ewm,MACD,15MA,SD,upperband,lowerband,RC,Target,sentiment_score
7/17/23,191.8999939,194.3200073,191.8099976,193.9900055,193.4734955,50520200,AAPL,0.01730559,190.6140015,190.2733337,0.998212788,48164940,50163393.33,0.960161121,190.6900024,3.630004883,191.1799927,189.6300049,186.6000061,194.3200073,185.2299957,194.4799957,95.72536556,94.70280828,63.2504668,64.55261206,0.979828155,3.300003052,3.300003052,0,1.182000732,0.105999756,1.005999756,0.518665568,11.15097599,1.939592327,91.77020841,65.98167743,1.390843822,191.4478672,189.6646631,-1.783204015,190.2733337,2.321107496,194.9155487,185.6311187,0.039157987,-0.72924935,0.383439394
7/18/23,193.3500061,194.3300018,192.4199982,193.7299957,193.2141876,48353800,AAPL,-0.001340326,191.7440002,190.8373332,0.995271471,48508080,50181066.67,0.966660998,193.9900055,1.910003662,194.3200073,191.8099976,188.4700012,194.3300018,185.6699982,194.4799957,89.76098906,91.48694429,76.56317203,67.26438906,1.138242287,-0.260009766,0,0.260009766,1.182000732,0.052001953,1.005999756,0.442000326,22.72992958,2.276015871,95.78591248,69.47511736,1.378708178,192.2085767,190.1728297,-2.035746964,190.8373332,2.027830228,194.8929936,186.7816727,0.045663039,-0.181256392,0.383439394
7/19/23,193.1000061,198.2299957,192.6499939,195.1000061,194.5805511,80507300,AAPL,0.007071751,192.8100006,191.3066671,0.992203031,52459500,52166166.67,1.005623057,193.7299957,5.580001831,194.3300018,192.4199982,189.6300049,198.2299957,186.6000061,198.2299957,63.60473307,73.08690957,78.83930048,65.21735018,1.208870036,1.370010376,1.370010376,0,1.118002319,0.052001953,0.911334229,0.442000326,21.49923709,2.061840627,95.55540485,67.33990688,1.419001143,193.1723865,190.7887268,-2.383659723,191.3066671,2.150116423,195.6068999,187.0064342,0.037434907,-0.753499025,0.383439394
7/20/23,195.0899963,196.4700012,192.5,193.1300049,192.615799,59581200,AAPL,-0.010097392,193.3280029,191.5653341,0.990882496,56107280,52723793.33,1.064173809,195.1000061,3.970001221,198.2299957,192.6499939,189.6300049,198.2299957,186.6000061,198.2299957,40.69771774,56.14793298,73.9969912,61.95941777,1.194281578,-1.970001221,0,1.970001221,0.964004517,0.446002197,0.832000732,0.57333374,2.161434456,1.451163038,68.36878911,59.20304017,1.154818889,193.1582593,191.0813865,-2.076872756,191.5653341,2.118170723,195.8016755,187.3289926,0.020502007,0.20607619,0.383439394
7/21/23,194.1000061,194.9700012,191.2299957,191.9400024,191.4289703,71917800,AAPL,-0.006161665,193.5780029,191.7220011,0.990412125,62176060,54428493.33,1.142343949,193.1300049,3.740005493,196.4700012,192.5,191.2299957,198.2299957,186.6000061,198.2299957,10.14295306,45.91574464,59.9863517,56.60137191,1.059803847,-1.190002441,0,1.190002441,0.934002686,0.684002686,0.80933431,0.652667236,1.365495641,1.240041272,57.7255615,55.35796539,1.042768843,192.7521737,191.1887135,-1.563460152,191.7220011,2.047355605,195.8167123,187.6272899,0.012395201,-0.098238166,0.383439394
7/24/23,193.4100037,194.9100037,192.25,192.75,192.2368011,45377800,AAPL,0.004220056,193.3300018,191.6406677,0.991261914,61147580,51782373.33,1.180857038,191.9400024,2.970001221,194.9700012,191.2299957,191.2299957,198.2299957,186.6000061,198.2299957,21.71434675,52.88047621,45.18414794,51.74989197,0.873125454,0.809997559,0.809997559,0,0.436001587,0.684002686,0.571333822,0.652667236,0.637426718,0.875383028,38.92856462,46.67755946,0.83398886,192.7514491,191.3838743,-1.367574784,191.6406677,1.974613164,195.5898941,187.6914414,-0.006289639,1.293125731,0.383439394
7/25/23,193.3300018,194.4400024,192.9199982,193.6199951,193.1044769,37283200,AAPL,0.004513593,193.3080017,191.7180003,0.991774777,58933460,52170706.67,1.129627405,192.75,1.690002441,194.9100037,192.25,191.2299957,198.2299957,186.6000061,198.2299957,34.14284842,60.36109438,34.06051981,48.88797333,0.696705498,0.869995117,0.869995117,0,0.61000061,0.632000732,0.629333496,0.552000936,0.965189721,1.14009498,49.11432777,53.27310193,0.921934822,193.0409644,191.6633894,-1.37757502,191.7180003,2.030905423,195.7798111,187.6561894,0.006027166,1.435430787,0.383439394
7/26/23,193.6699982,195.6399994,193.3200073,194.5,193.9821472,47471900,AAPL,0.00454501,193.1880005,191.9293335,0.993484756,52326380,52207480,1.002277451,193.6199951,2.319992065,194.4400024,192.9199982,191.2299957,196.4700012,186.6000061,198.2299957,62.40459627,67.92778112,33.82049245,49.43393735,0.684155345,0.880004883,0.880004883,0,0.511999512,0.632000732,0.688000488,0.476667277,0.810124871,1.44335582,44.75519252,59.07268225,0.75762926,193.5273096,192.0179658,-1.509343882,191.9293335,2.14913819,196.2276099,187.6310571,0.016568223,-0.209164194,0.383439394
7/27/23,196.0200043,197.1999969,192.5500031,193.2200012,192.7055511,47460200,AAPL,-0.006580971,193.2059998,192.0233337,0.99387873,49902180,52365206.67,0.952964443,194.5,4.649993896,195.6399994,193.3200073,191.2299957,197.1999969,186.6000061,198.2299957,33.33341853,56.92176288,32.34763261,48.20249667,0.671077949,-1.279998779,0,1.279998779,0.511999512,0.494000244,0.656000773,0.562000529,1.036435746,1.167260063,50.89459602,53.85879079,0.944963585,193.4248735,192.1682202,-1.256653311,192.0233337,2.174235019,196.3718038,187.6748637,0.007351044,-1.073609882,0.383439394
7/28/23,194.6699982,196.6300049,194.1399994,195.8300018,195.308609,48291400,AAPL,0.013507922,193.9839996,192.3666677,0.99166255,45176900,52466100,0.861068385,193.2200012,3.410003662,197.1999969,192.5500031,192.25,197.1999969,186.6000061,198.2299957,72.3233139,79.3637486,44.78370477,51.15536902,0.875444858,2.61000061,2.61000061,0,1.033999634,0.255999756,0.830000814,0.48666687,4.039064921,1.705480411,80.1550483,63.03798779,1.271535642,194.2265829,192.6259429,-1.600640051,192.3666677,2.346732602,197.0601329,187.6732025,0.02700865,-2.494134168,0.383439394
